Track,Composer,Milliseconds,Bytes,UnitPrice,Genre,Album,Artist
All the Best Cowboys Have Daddy Issues,,2555492,211743651,1.99,TV Shows,"Lost, Season 1",Lost
Beira Mar,Gilberto Gil,295444,9597994,0.99,Latin,Unplugged,Eric Clapton
Brasil,"Milton Nascimento, Fernando Brant",155428,5252560,0.99,Latin,Milton Nascimento Ao Vivo,Milton Nascimento
Ben Franklin,,1271938,264168080,1.99,Comedy,"The Office, Season 3",The Office
O Último Romântico (Ao Vivo),,231993,7692697,0.99,Latin,Lulu Santos - RCA 100 Anos De Música - Álbum 02,Lulu Santos
Freewheel Burning,,265952,8713599,0.99,Metal,Living After Midnight,Judas Priest
That's The Way,Robert Plant,343431,11248455,0.99,Rock,BBC Sessions [Disc 2] [Live],Led Zeppelin
Mellowship Slinky In B Major,Anthony Kiedis/Chad Smith/Flea/John Frusciante,240091,7971384,0.99,Alternative & Punk,Blood Sugar Sex Magik,Red Hot Chili Peppers
"Diga Lá, Coração",,255921,8280636,0.99,Latin,Meus Momentos,Gonzaguinha
Come As You Are,Kurt Cobain,219219,7123357,0.99,Rock,Nevermind,Nirvana
The Spirit Of Radio,Geddy Lee And Alex Lifeson/Geddy Lee And Neil Peart/Rush,299154,9862012,0.99,Rock,Retrospective I (1974-1980),Rush
Midnight Blue,David Coverdale/Earl Slick,298631,9750990,0.99,Rock,Into The Light,David Coverdale
Se Liga,,410409,13559173,0.99,Hip Hop/Rap,Os Cães Ladram Mas A Caravana Não Pára,Planet Hemp
Carnival Of Sorts,R.E.M.,233482,7669658,0.99,Alternative & Punk,The Best Of R.E.M.: The IRS Years,R.E.M.
Paranoid,"A. F. Iommi, W. Ward, T. Butler, J. Osbourne",176352,5729813,0.99,Metal,Tribute,Ozzy Osbourne
Got That Feeling,Mike Patton,140852,4643227,0.99,Alternative & Punk,Album Of The Year,Faith No More
What Is And What Should Never Be,"Jimmy Page, Robert Plant",287973,9369385,0.99,Rock,Led Zeppelin II,Led Zeppelin
The Zephyr Song,"Anthony Kiedis, Flea, John Frusciante, and Chad Smith",232960,7690312,0.99,Rock,By The Way,Red Hot Chili Peppers
Run Silent Run Deep,Bruce Dickinson/Steve Harris,275408,4407296,0.99,Metal,No Prayer For The Dying,Iron Maiden
Realidade Virtual,Bino Farias/Da Gama/Lazão/Toni Garrido,195239,6503533,0.99,Reggae,Acústico MTV [Live],Cidade Negra
Há Quanto Tempo,,270027,9004470,0.99,Latin,Jota Quest-1995,Jota Quest
Oprah,,6635,224313,0.99,Alternative & Punk,Body Count,Body Count
As Aparências Enganam,,247379,8014346,0.99,Latin,Elis Regina-Minha História,Elis Regina
Confidence Man,,2615244,223756475,1.99,TV Shows,"Lost, Season 1",Lost
Os Alquimistas Estão Chegando,,367281,12304520,0.99,Latin,Jorge Ben Jor 25 Anos,Jorge Ben
Springsville,J. Carisi,207725,6776219,0.99,Jazz,Miles Ahead,Miles Davis
Wake Up,Alanis Morissette & Glenn Ballard,293485,9703359,0.99,Rock,Jagged Little Pill,Alanis Morissette
Ave Maria,Franz Schubert,338243,5605648,0.99,Classical,A Soprano Inspired,"Britten Sinfonia, Ivor Bolton & Lesley Garrett"
A Banda,,132493,4349539,0.99,Latin,Minha Historia,Chico Buarque
Fight Fire With Fire,Metallica,285753,9420856,0.99,Metal,Ride The Lightning,Metallica
Sound of a Gun,,260154,4234990,0.99,Alternative,Revelations,Audioslave
RV,,223242,7288162,0.99,Alternative & Punk,Angel Dust,Faith No More
É que Nessa Encarnação Eu Nasci Manga,Lucina/Luli,196519,6568081,0.99,Pop,Axé Bahia 2001,Various Artists
Do The Evolution,Eddie Vedder & Stone Gossard,225462,7377286,0.99,Rock,Live On Two Legs [Live],Pearl Jam
Prowler,Steve Harris,255634,4091904,0.99,Metal,A Real Dead One,Iron Maiden
They Can't Take That Away From Me,george gershwin/ira gershwin,161227,5240043,0.99,Easy Listening,My Way: The Best Of Frank Sinatra [Disc 1],Frank Sinatra
The Real Problem,,11650,387360,0.99,Alternative & Punk,Body Count,Body Count
Tempus Fugit,Miles Davis,231784,7548434,0.99,Jazz,The Essential Miles Davis [Disc 1],Miles Davis
Diwali,,1279904,252726644,1.99,TV Shows,"The Office, Season 3",The Office
Bring'em Back Alive,Audioslave/Chris Cornell,329534,7911634,0.99,Rock,Audioslave,Audioslave
Time Is On My Side,Jerry Ragavoy,179983,5855836,0.99,Rock,"Hot Rocks, 1964-1971 (Disc 1)",The Rolling Stones
The Ocean,John Bonham/John Paul Jones,271098,8846469,0.99,Rock,Houses Of The Holy,Led Zeppelin
Minority,Billie Joe Armstrong -Words Green Day -Music,168803,5535061,0.99,Alternative & Punk,International Superhits,Green Day
The Messenger,Daniel Lanois,212062,6975437,0.99,Alternative & Punk,Tangents,The Tea Party
Quanta (Live),,357485,11774865,0.99,Latin,Quanta Gente Veio Ver (Live),Gilberto Gil
Ironic,Alanis Morissette & Glenn Ballard,229825,7598866,0.99,Rock,Jagged Little Pill,Alanis Morissette
Faraó Divindade Do Egito,,228571,7523278,0.99,Latin,Olodum,Olodum
"Nabucco: Chorus, ""Va, Pensiero, Sull'ali Dorate""",Giuseppe Verdi,274504,4498583,0.99,Classical,Great Opera Choruses,"Chicago Symphony Chorus, Chicago Symphony Orchestra & Sir Georg Solti"
Redundant,Billie Joe Armstrong -Words Green Day -Music,198164,6481753,0.99,Alternative & Punk,International Superhits,Green Day
Leave Us Leap,,182726,5898810,0.99,Jazz,Up An' Atom,Gene Krupa
Flight Of The Icarus,Adrian Smith/Bruce Dickinson,230269,3686400,0.99,Metal,Piece Of Mind,Iron Maiden
Adoled (Ocean),,185103,6009946,0.99,Hip Hop/Rap,Os Cães Ladram Mas A Caravana Não Pára,Planet Hemp
Let's See Action,Pete Townshend,243513,8078418,0.99,Rock,My Generation - The Very Best Of The Who,The Who
"Toccata and Fugue in D Minor, BWV 565: I. Toccata",Johann Sebastian Bach,153901,2649938,0.99,Classical,Bach: Toccata & Fugue in D Minor,Ton Koopman
Blind Curve: Vocal Under A Bloodlight / Passing Strangers / Mylo / Perimeter Walk / Threshold,"Kelly, Mosley, Rothery, Trewaves",569704,18578995,0.99,Rock,Misplaced Childhood,Marillion
Dirty Little Thing,"Dave Kushner, Duff, Keith Nelson, Matt Sorum, Scott Weiland & Slash",237844,7732982,0.99,Rock,Contraband,Velvet Revolver
Só Tinha De Ser Com Você,Vários,389642,13085596,0.99,Latin,Chill: Brazil (Disc 2),Antônio Carlos Jobim
Slug,"Brian Eno, Bono, Adam Clayton, The Edge & Larry Mullen Jnr.",281469,9295950,0.99,Soundtrack,Original Soundtracks 1,Passengers
Black Mountain Side,Jimmy Page,132702,4440602,0.99,Rock,Led Zeppelin I,Led Zeppelin
Pensamento,Bino/Da Gama/Ras Bernardo,192391,6399761,0.99,Reggae,Cidade Negra - Hits,Cidade Negra
Even Better Than The Real Thing,U2,221361,7279392,0.99,Rock,Achtung Baby,U2
Powerslave,Dickinson,407823,9791106,0.99,Metal,Powerslave,Iron Maiden
Loud Love,Chris Cornell,297456,9660953,0.99,Rock,A-Sides,Soundgarden
2 Minutes To Midnight,Smith/Dickinson,366550,8799380,0.99,Metal,Live After Death,Iron Maiden
Out Of Exile,"Cornell, Commerford, Morello, Wilk",291291,9506571,0.99,Alternative & Punk,Out Of Exile,Audioslave
Spank Thru,Kurt Cobain,190354,6186487,0.99,Rock,From The Muddy Banks Of The Wishkah [Live],Nirvana
London Calling,Joe Strummer/Mick Jones,199706,6569007,0.99,Alternative & Punk,The Singles,The Clash
Break on Through,"Robby Krieger, Ray Manzarek, John Densmore, Jim Morrison",149342,4943144,0.99,Rock,The Doors,The Doors
We Are The Champions,Mercury,182883,5939794,0.99,Rock,News Of The World,Queen
Hard Lovin' Man,"Blackmore, Gillan, Glover, Lord, Paice",431203,13931179,0.99,Rock,Deep Purple In Rock,Deep Purple
Jingo,M.Babatunde Olantunji,592953,19736495,0.99,Rock,Santana - As Years Go By,Santana
200 Years Old,Frank Zappa,272561,8912465,0.99,Rock,Bongo Fury,Frank Zappa & Captain Beefheart
Santa Clara Clareou,,380081,12524725,0.99,Latin,Jorge Ben Jor 25 Anos,Jorge Ben
Juventude Transviada (Ao Vivo),,278622,9183808,0.99,Latin,Cássia Eller - Coleção Sem Limite [Disc 2],Cássia Eller
Rollover D.J.,C. Cester/N. Cester,196702,6406517,0.99,Alternative & Punk,Get Born,JET
Leave,Bill Berry-Peter Buck-Mike Mills-Michael Stipe,437968,14433365,0.99,Rock,New Adventures In Hi-Fi,R.E.M.
God Part II,"Bono/Clayton, Adam/Mullen Jr., Larry/The Edge",195604,6497570,0.99,Rock,Rattle And Hum,U2
Cold Gin,Ace Frehley,262243,8609783,0.99,Rock,Greatest Kiss,Kiss
Sister Morphine,Faithfull/Jagger/Richards,376215,12345289,0.99,Rock,No Security,The Rolling Stones
Nefertiti,Miles Davis,473495,15478450,0.99,Jazz,The Essential Miles Davis [Disc 2],Miles Davis
Take the Box,Luke Smith,199160,3281526,0.99,Pop,Frank,Amy Winehouse
Good Riddance (Time Of Your Life),Billie Joe Armstrong -Words Green Day -Music,153600,5075241,0.99,Alternative & Punk,International Superhits,Green Day
Can't Keep,Eddie Vedder,219428,7215713,0.99,Rock,Riot Act,Pearl Jam
Wall Of Denial,Doyle Bramhall/Stevie Ray Vaughan,336927,11085915,0.99,Blues,In Step,Stevie Ray Vaughan & Double Trouble
If God Will Send His Angels,"Bono, The Edge, Adam Clayton, and Larry Mullen",322533,10563329,0.99,Rock,Pop,U2
Viradouro,Dadinho/Gilbreto Gomes/Gustavo/P.C. Portugal/R. Mocoto,344320,11484362,0.99,Latin,Sambas De Enredo 2001,Various Artists
Surrender,U2,333505,11221406,0.99,Rock,War,U2
Funky Monks,Anthony Kiedis/Chad Smith/Flea/John Frusciante,323395,10708168,0.99,Alternative & Punk,Blood Sugar Sex Magik,Red Hot Chili Peppers
Back in the Village,Dickinson/Smith,320548,7696518,0.99,Metal,Powerslave,Iron Maiden
Freedom For My People,"Mabins, Macie/Magee, Sterling/Robinson, Bobby",38164,1249764,0.99,Rock,Rattle And Hum,U2
Um Jantar Pra Dois,,244009,8021589,0.99,Latin,The Best of Ed Motta,Ed Motta
Hang 'Em High,Alex Van Halen/David Lee Roth/Edward Van Halen/Michael Anthony,210259,6872314,0.99,Rock,Diver Down,Van Halen
Spirit's in the Material World,G M Sumner,181133,5986622,0.99,Rock,The Police Greatest Hits,The Police
Maquinarama,Chico Amaral/Samuel Rosa,245629,8213710,0.99,Rock,Maquinarama,Skank
Believe,,310778,10317185,0.99,Jazz,Heart of the Night,Spyro Gyra
The Wait,Killing Joke,295418,9688418,0.99,Metal,Garage Inc. (Disc 2),Metallica
Near Wild Heaven,Bill Berry/Michael Stipe/Mike Mills/Peter Buck,199862,6610009,0.99,Alternative & Punk,Out Of Time,R.E.M. Feat. Kate Pearson
Desordem,Charles Gavin/Marcelo Fromer/Sérgio Britto,213289,7067340,0.99,Alternative & Punk,Volume Dois,Titãs
Canário Do Reino,,139337,4552858,0.99,Latin,Serie Sem Limite (Disc 2),Tim Maia
O Pulso,Titãs,199131,6566998,0.99,Alternative & Punk,Acústico,Titãs
Fear Of The Dark,Steve Harris,431333,6906078,0.99,Metal,A Real Live One,Iron Maiden
Every Little Thing She Does is Magic,G M Sumner,261120,8646853,0.99,Rock,The Police Greatest Hits,The Police
O Livro Dos Dias,Renato Russo,257253,8570929,0.99,Latin,A TempestadeTempestade Ou O Livro Dos Dias,Legião Urbana
Arc,Pearl Jam,65593,2099421,0.99,Rock,Riot Act,Pearl Jam
All My Life,Foo Fighters,263653,8665545,0.99,Alternative & Punk,One By One,Foo Fighters
Put You Down,Jerry Cantrell,196231,6420530,0.99,Rock,Facelift,Alice In Chains
Já Foi,Mônica Marianno,245681,8094872,0.99,World,Demorou...,Mônica Marianno
Gatas Extraordinárias,,212506,7095702,0.99,Latin,Cássia Eller - Coleção Sem Limite [Disc 2],Cássia Eller
Carta Ao Tom 74,,162560,5382354,0.99,Bossa Nova,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius
Babyface,U2; Bono,241998,7942573,0.99,Rock,Zooropa,U2
Light My Way,Audioslave/Chris Cornell,303595,7289084,0.99,Rock,Audioslave,Audioslave
Solar,"Milton Nascimento, Fernando Brant",156212,5098288,0.99,Latin,Milton Nascimento Ao Vivo,Milton Nascimento
Something Nice Back Home,,2612779,484711353,1.99,Drama,"LOST, Season 4",Lost
Murder On the Rising Star,,2935894,551759986,1.99,Sci Fi & Fantasy,"Battlestar Galactica (Classic), Season 1",Battlestar Galactica (Classic)
Think,Lowman Pauling,166739,5513208,0.99,R&B/Soul,Sex Machine,James Brown
Ando Meio Desligado,Caetano Veloso,195813,6547648,0.99,Latin,Chill: Brazil (Disc 1),Marcos Valle
Trac Trac,Fito Paez/Herbert Vianna,231653,7638256,0.99,Latin,Arquivo II,Os Paralamas Do Sucesso
Whiplash,"James Hetfield, Lars Ulrich",249208,8102839,0.99,Metal,Kill 'Em All,Metallica
Brave New World,Bruce Dickinson/David Murray/Steve Harris,378984,15161472,0.99,Rock,Brave New World,Iron Maiden
A Statistic,,6373,211997,0.99,Alternative & Punk,Body Count,Body Count
Manifest Destiny,Toby Smith,382197,12676962,0.99,Electronica/Dance,The Return Of The Space Cowboy,Jamiroquai
Falamansa Song,,237165,7921313,0.99,Latin,Deixa Entrar,Falamansa
Song For Lorraine,Jay Beckenstein,240091,8101723,0.99,Jazz,Morning Dance,Spyro Gyra
Diamante De Mendigo,,206053,6775101,0.99,Rock,Raul Seixas,Raul Seixas
Corcovado (Quiet Nights Of Quiet Stars),,205662,6687994,0.99,Jazz,Warner 25 Anos,Antônio Carlos Jobim
KKK Bitch,,173008,5709631,0.99,Alternative & Punk,Body Count,Body Count
União Da Ilha,"Dito/Djalma Falcao/Ilha, Almir Da/Márcio André",330945,11100945,0.99,Latin,Sambas De Enredo 2001,Various Artists
Your Mirror,Mick Hucknall,240666,7893821,0.99,Rock,Greatest Hits,Lenny Kravitz
Maybe I'm A Leo,Ian Gillan/Ian Paice/Jon Lord/Ritchie Blckmore/Roger Glover,290455,9502646,0.99,Rock,Machine Head,Deep Purple
Not The Doctor,Alanis Morissette & Glenn Ballard,227631,7604601,0.99,Rock,Jagged Little Pill,Alanis Morissette
Suck My Kiss,Anthony Kiedis/Chad Smith/Flea/John Frusciante,217234,7129137,0.99,Alternative & Punk,Blood Sugar Sex Magik,Red Hot Chili Peppers
The Unforgettable Fire,U2,295183,9684664,0.99,Rock,The Best Of 1980-1990,U2
You Learn,Alanis Morissette & Glenn Ballard,239699,7824837,0.99,Rock,Jagged Little Pill,Alanis Morissette
Losing My Religion,Bill Berry/Michael Stipe/Mike Mills/Peter Buck,269035,8885672,0.99,Alternative & Punk,Out Of Time,R.E.M. Feat. Kate Pearson
"Concert pour 4 Parties de V**les, H. 545: I. Prelude",Marc-Antoine Charpentier,110266,1973559,0.99,Classical,"Charpentier: Divertissements, Airs & Concerts",Les Arts Florissants & William Christie
Flip The Switch,Jagger/Richards,252421,8336591,0.99,Rock,No Security,The Rolling Stones
Enquanto O Mundo Explode,Chico Science,88764,2968650,0.99,Latin,Afrociberdelia,Chico Science & Nação Zumbi
So Central Rain,R.E.M.,194768,6414550,0.99,Alternative & Punk,The Best Of R.E.M.: The IRS Years,R.E.M.
Riviera Paradise,Stevie Ray Vaughan,528692,17232776,0.99,Blues,In Step,Stevie Ray Vaughan & Double Trouble
Caffeine,,267937,8747367,0.99,Alternative & Punk,Angel Dust,Faith No More
Palco (Live),,238315,8026622,0.99,Latin,Quanta Gente Veio Ver (Live),Gilberto Gil
Walk On,"Adam Clayton, Bono, Larry Mullen, The Edge",296280,9800861,0.99,Rock,All That You Can't Leave Behind,U2
Layla,Clapton/Gordon,430733,14115792,0.99,Blues,The Cream Of Clapton,Eric Clapton
End Of The Night,"Robby Krieger, Ray Manzarek, John Densmore, Jim Morrison",172695,5589732,0.99,Rock,The Doors,The Doors
Revolution,,256026,8371254,0.99,Rock,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",The Cult
Sweet Child O' Mine,,356424,5879347,0.99,Rock,Appetite for Destruction,Guns N' Roses
Heaven Can Wait,,440555,10577743,0.99,Rock,Live At Donington 1992 (Disc 2),Iron Maiden
Love Comes,"Darius ""Take One"" Minwalla/Jon Auer/Ken Stringfellow/Matt Harris",199923,3240609,0.99,Rock,Every Kind of Light,The Posies
