Id,LotArea,YearBuilt,FullBath,TotRmsAbvGrd,GarageArea,1stFlrSF,2ndFlrSF,SalePrice
1,8450,2003,2,8,548,856,854,208500
2,9600,1976,2,6,460,1262,0,181500
3,11250,2001,2,6,608,920,866,223500
4,9550,1915,1,7,642,961,756,140000
5,14260,2000,2,9,836,1145,1053,250000
6,14115,1993,1,5,480,796,566,143000
7,10084,2004,2,7,636,1694,0,307000
8,10382,1973,2,7,484,1107,983,200000
9,6120,1931,2,8,468,1022,752,129900
10,7420,1939,1,5,205,1077,0,118000
11,11200,1965,1,5,384,1040,0,129500
12,11924,2005,3,11,736,1182,1142,345000
13,12968,1962,1,4,352,912,0,144000
14,10652,2006,2,7,840,1494,0,279500
15,10920,1960,1,5,352,1253,0,157000
16,6120,1929,1,5,576,854,0,132000
17,11241,1970,1,5,480,1004,0,149000
18,10791,1967,2,6,516,1296,0,90000
19,13695,2004,1,6,576,1114,0,159000
20,7560,1958,1,6,294,1339,0,139000
21,14215,2005,3,9,853,1158,1218,325300
22,7449,1930,1,6,280,1108,0,139400
23,9742,2002,2,7,534,1795,0,230000
24,4224,1976,1,6,572,1060,0,129900
25,8246,1968,1,6,270,1060,0,154000
26,14230,2007,2,7,890,1600,0,256300
27,7200,1951,1,5,576,900,0,134800
28,11478,2007,2,7,772,1704,0,306000
29,16321,1957,1,6,319,1600,0,207500
30,6324,1927,1,4,240,520,0,68500
31,8500,1920,1,6,250,649,668,40000
32,8544,1966,1,6,271,1228,0,149350
33,11049,2007,2,7,484,1234,0,179900
34,10552,1959,1,6,447,1700,0,165500
35,7313,2005,2,6,556,1561,0,277500
36,13418,2004,3,9,691,1132,1320,309000
37,10859,1994,1,6,672,1097,0,145000
38,8532,1954,1,5,498,1297,0,153000
39,7922,1953,1,5,246,1057,0,109000
40,6040,1955,2,6,0,1152,0,82000
41,8658,1965,2,6,440,1324,0,160000
42,16905,1959,1,5,308,1328,0,170000
43,9180,1983,1,5,504,884,0,144000
44,9200,1975,1,5,308,938,0,130250
45,7945,1959,1,6,300,1150,0,141000
46,7658,2005,2,6,576,1752,0,319900
47,12822,2003,1,6,670,1518,631,239686
48,11096,2006,2,7,826,1656,0,249700
49,4456,1920,2,8,0,736,716,113000
50,7742,1966,1,6,386,955,0,127000
51,13869,1997,2,6,388,794,676,177000
52,6240,1934,1,6,528,816,0,114500
53,8472,1963,1,5,516,816,0,110000
54,50271,1981,0,5,894,1842,0,385000
55,7134,1955,1,6,572,1360,0,130000
56,10175,1964,2,7,576,1425,0,180500
57,2645,1999,2,7,480,983,756,172500
58,11645,2004,2,7,565,860,860,196500
59,13682,2006,3,10,641,1426,1519,438780
60,7200,1972,1,4,352,780,0,124900
61,13072,2004,1,5,576,1158,0,158000
62,7200,1920,1,6,288,581,530,101000
63,6442,2006,2,6,484,1370,0,202500
64,10300,1921,2,9,480,902,808,140000
65,9375,1997,2,8,645,1057,977,219500
66,9591,2004,2,9,852,1143,1330,317000
67,19900,1970,2,7,576,2207,0,180000
68,10665,2003,2,7,558,1479,0,226000
69,4608,1945,1,4,220,747,0,80000
70,15593,1953,2,7,667,1304,983,225000
71,13651,1973,2,8,516,2223,0,244000
72,7599,1982,1,4,360,845,0,129500
73,10141,1998,2,7,427,885,833,185000
74,10200,1954,1,6,490,1086,0,144900
75,5790,1915,2,8,379,840,765,107400
76,1596,1973,1,5,297,526,462,91000
77,8475,1956,1,4,283,952,0,135750
78,8635,1948,1,6,240,1072,213,127000
79,10778,1968,2,8,0,1768,0,136500
80,10440,1910,1,5,440,682,548,110000
81,13000,1968,2,8,509,1182,960,193500
82,4500,1998,2,5,405,1337,0,153500
83,10206,2007,2,6,758,1563,0,245000
84,8892,1960,1,6,461,1065,0,126500
85,8530,1995,2,7,400,804,670,168500
86,16059,1991,2,9,462,1301,1116,260000
87,11911,2005,2,6,400,684,876,174000
88,3951,2009,2,4,528,612,612,164500
89,8470,1915,1,6,0,1013,0,85000
90,8070,1994,1,5,0,990,0,123600
91,7200,1950,1,4,420,1040,0,109900
92,8500,1961,1,6,480,1235,0,98600
93,13360,1921,1,5,432,964,0,163500
94,7200,1910,2,9,506,1260,1031,133900
95,9337,1997,2,7,684,905,881,204750
96,9765,1993,2,6,420,680,790,185000
97,10264,1999,2,6,472,1588,0,214000
98,10921,1965,1,6,432,960,0,94750
99,10625,1920,1,5,366,835,0,83000
100,9320,1959,1,6,0,1225,0,128950
101,10603,1977,2,6,480,1610,0,205000
102,9206,1985,2,7,476,977,755,178000
103,7018,1979,2,8,410,1535,0,118964
104,10402,2009,2,6,740,1226,0,198900
105,7758,1931,1,7,240,1226,592,169500
106,9375,2003,2,9,648,1053,939,250000
107,10800,1885,1,6,273,1047,0,100000
108,6000,1948,1,5,250,789,0,115000
109,8500,1919,2,7,0,997,520,115000
110,11751,1977,2,7,546,1844,0,190000
111,9525,1954,2,7,325,1216,639,136900
112,7750,2000,2,7,400,774,656,180000
113,9965,2007,2,10,792,1282,1414,383970
114,21000,1953,2,7,450,2259,0,217000
115,7259,1945,2,9,180,1436,884,259500
116,3230,1999,2,5,440,729,729,176000
117,11616,1962,1,6,288,1092,0,139000
118,8536,2006,1,5,430,1125,0,155000
119,12376,1990,3,11,594,1699,1523,320000
120,8461,2005,2,8,390,728,728,163990
121,21453,1969,1,4,540,988,0,180000
122,6060,1939,1,4,264,772,351,100000
123,9464,1958,1,5,288,1080,0,136000
124,7892,1993,2,5,530,1199,0,153900
125,17043,1979,2,7,435,1586,0,181000
126,6780,1935,1,5,0,520,0,84500
127,4928,1976,2,5,440,958,0,128000
128,4388,1930,1,5,0,840,0,87000
129,7590,1966,1,6,453,660,688,155000
130,8973,1958,1,6,750,1053,0,150000
131,14200,1966,2,8,487,1216,941,226000
132,12224,2000,2,7,390,1022,1032,244000
133,7388,1959,1,7,624,1327,0,150750
134,6853,2001,2,6,471,1296,0,220000
135,10335,1968,2,7,440,1721,0,180000
136,10400,1970,2,7,530,1682,0,174000
137,10355,1967,2,5,318,1214,0,143000
138,11070,1988,3,9,766,1959,0,171000
139,9066,1999,2,7,660,1004,848,230000
140,15426,1997,2,7,470,928,836,231500
141,10500,1971,1,5,0,864,0,115000
142,11645,2005,2,7,660,1734,0,260000
143,8520,1952,2,6,720,910,475,166000
144,10335,1999,2,6,577,1501,0,204000
145,9100,1963,2,10,504,1728,0,125000
146,2522,2004,2,7,380,970,739,130000
147,6120,1931,1,5,180,875,0,105000
148,9505,2001,2,8,434,884,1151,222500
149,7500,2004,1,6,0,1080,0,141000
150,6240,1936,1,7,240,896,448,115000
151,10356,1975,1,5,440,969,0,122000
152,13891,2007,2,6,866,1710,0,372402
153,14803,1971,2,8,495,1097,896,190000
154,13500,1960,1,4,564,1252,0,235000
155,11340,1923,1,7,312,1200,0,125000
156,9600,1924,1,5,0,572,524,79000
157,7200,1950,1,5,625,1040,0,109500
158,12003,2009,2,8,680,774,1194,269500
159,12552,2004,2,8,678,991,956,254900
160,19378,2005,2,9,576,1392,1070,320000
161,11120,1984,2,6,516,1232,0,162500
162,13688,2003,2,10,726,1572,1096,412500
163,12182,2005,2,7,532,1541,0,220000
164,5500,1956,1,4,0,882,0,103200
165,5400,1926,2,5,216,1149,467,152000
166,10106,1940,2,6,0,808,547,127500
167,10708,1955,1,7,303,1867,0,190000
168,10562,2007,1,8,789,1610,551,325624
169,8244,2004,2,7,440,840,880,183500
170,16669,1981,2,6,511,1707,0,228000
171,12358,1941,1,7,660,854,0,128500
172,31770,1960,1,7,528,1656,0,215000
173,5306,1987,2,5,504,1064,703,239000
174,10197,1961,1,6,504,1362,0,163000
175,12416,1986,2,7,616,1651,0,184000
176,12615,1950,2,7,576,2158,0,243000
177,10029,1988,2,8,521,1164,896,211000
178,13650,1958,2,8,451,1252,668,172500
179,17423,2008,2,9,1166,2234,0,501837
180,8520,1923,1,5,480,968,0,100000
181,2117,2000,2,5,440,769,756,177000
182,7588,1920,1,9,216,901,901,200100
183,9060,1957,1,7,252,1340,0,120000
184,11426,2003,2,6,484,1362,720,200000
185,7438,1908,1,5,576,936,316,127000
186,22950,1892,2,12,840,1518,1518,475000
187,9947,1990,2,6,497,1217,0,173000
188,10410,1916,2,8,180,808,704,135000
189,7018,1979,0,6,528,1224,0,153337
190,4923,2001,1,5,682,1593,0,286000
191,10570,1932,2,10,440,1549,1178,315000
192,7472,1972,1,7,484,725,754,184000
193,9017,1999,2,6,666,1431,0,192000
194,2522,2004,2,7,380,970,739,130000
195,7180,1972,1,5,352,864,0,127000
196,2280,1976,2,7,440,855,601,148500
197,9416,2007,2,8,786,1726,0,311872
198,25419,1918,2,8,795,1360,1360,235000
199,5520,1912,1,8,0,929,929,104000
200,9591,2004,2,7,856,1713,0,274900
201,8546,2003,2,5,440,1121,0,140000
202,10125,1977,2,6,473,1279,0,171500
203,7000,1924,2,6,398,865,445,112000
204,4438,2004,1,3,420,848,0,149000
205,3500,1947,1,5,240,720,564,110000
206,11851,1990,2,5,500,1442,0,180500
207,13673,1962,1,8,349,1696,0,143900
208,12493,1960,1,6,312,1100,0,141000
209,14364,1988,2,7,454,1180,882,277000
210,8250,1964,1,6,504,1092,0,145000
211,5604,1925,1,5,0,864,0,98000
212,10420,2009,2,6,460,1212,0,186000
213,8640,2009,2,7,644,932,920,252678
214,13568,1995,1,5,576,990,0,156000
215,10900,1977,1,6,299,689,703,161750
216,10011,1957,1,6,447,1236,0,134450
217,8450,2004,2,8,484,1436,0,210000
218,9906,1925,1,8,210,810,518,107000
219,15660,1939,1,8,431,1137,817,311500
220,3010,2005,2,5,438,1248,0,167240
221,8990,2006,2,5,675,1498,0,204900
222,8068,2002,2,8,390,1010,1257,200000
223,11475,1975,2,6,434,811,741,179900
224,10500,1971,1,4,576,864,0,97000
225,13472,2003,2,8,968,2392,0,386250
226,1680,1971,2,6,280,630,672,112000
227,9950,1995,2,9,721,1214,1306,290000
228,1869,1970,1,5,280,483,504,106000
229,8521,1967,1,5,336,912,0,125000
230,3182,2005,2,7,430,1555,0,192500
231,8760,1959,1,6,312,1194,0,148000
232,15138,1995,2,9,810,1490,1304,403000
233,1680,1972,1,5,288,483,504,94500
234,10650,1976,1,5,308,894,0,128200
235,7851,2002,2,8,440,860,1100,216500
236,1680,1971,1,5,264,483,504,89500
237,8773,2004,2,6,494,1414,0,185500
238,9453,1993,2,7,457,1014,730,194500
239,12030,2007,2,7,818,1694,0,318000
240,8741,1945,1,7,220,798,689,113000
241,9000,2008,2,7,750,1566,0,262500
242,3880,1945,1,4,0,866,0,110500
243,5000,1900,1,6,352,889,551,79000
244,10762,1980,1,6,288,626,591,120000
245,8880,1994,2,8,463,1222,888,205000
246,10400,1988,2,6,604,1872,0,241500
247,9142,1910,2,9,440,908,1020,137000
248,11310,1954,1,5,451,1375,0,140000
249,11317,2003,2,8,500,840,828,180000
250,159000,1958,2,7,389,1444,700,277000
251,5350,1940,1,6,0,1306,0,76500
252,4750,2006,2,5,538,1625,0,235000
253,8366,2004,2,6,520,798,842,173000
254,9350,1964,2,7,309,1302,0,158000
255,8400,1957,1,5,294,1314,0,145000
256,8738,1999,2,8,429,1005,1286,230000
257,8791,2003,2,7,673,864,864,207500
258,8814,2006,2,8,660,1604,0,220000
259,12435,2001,2,7,564,963,829,231500
260,12702,1956,1,4,308,882,0,97000
261,19296,1962,1,6,884,1382,0,176000
262,9588,2007,2,10,868,1482,1092,276000
263,8471,1977,1,6,492,1212,0,151000
264,5500,1929,1,6,484,926,0,130000
265,5232,1925,1,4,504,764,0,73000
266,12090,1981,2,7,576,1422,0,175500
267,11207,1997,2,8,413,802,709,185000
268,8400,1939,2,8,240,1052,720,179500
269,6900,1940,1,4,924,778,0,120500
270,7917,1976,1,6,504,1113,0,148000
271,10728,2006,2,8,1053,1095,844,266000
272,39104,1954,1,5,439,1363,0,241500
273,11764,1999,2,9,671,1164,1106,290000
274,9600,1958,2,6,338,1632,0,139000
275,8314,1982,1,5,264,816,0,124500
276,7264,1925,2,5,672,952,596,205000
277,9196,2003,2,7,573,1560,0,201000
278,19138,1951,1,4,400,864,0,141000
279,14450,2006,2,8,732,2121,0,415298
280,10005,1977,2,8,505,1156,866,192000
281,11287,1989,2,7,575,1175,807,228500
282,7200,2006,2,5,572,1262,0,185000
283,5063,2007,2,6,626,1314,0,207500
284,9612,2008,2,6,898,1468,0,244600
285,8012,1992,2,5,529,1575,0,179200
286,4251,2006,2,5,528,625,625,164700
287,9786,1962,1,7,440,1085,649,159000
288,8125,1971,1,5,0,858,0,88000
289,9819,1967,1,5,280,900,0,122000
290,8730,1915,1,7,384,698,698,153575
291,15611,2006,2,8,685,1079,840,233230
292,5687,1912,2,9,0,936,780,135900
293,11409,1949,1,8,281,1148,568,131000
294,16659,1977,2,9,539,1468,795,235000
295,9600,1953,1,7,418,1644,0,167000
296,7937,1984,1,6,588,1003,0,142500
297,13710,1950,1,6,282,910,648,152000
298,7399,1997,2,7,576,975,975,239000
299,11700,1968,1,7,539,1041,702,175000
300,14000,1950,1,6,300,1152,0,158500
301,15750,1953,1,5,375,1336,0,157000
302,16226,1998,2,9,683,1210,1242,267000
303,13704,2001,2,6,843,1541,0,205000
304,9800,1972,1,5,552,894,0,149900
305,18386,1880,3,10,870,1675,1818,295000
306,10386,2004,2,8,888,2000,0,305900
307,13474,1990,2,8,746,1122,1121,225000
308,7920,1920,1,6,0,1035,371,89500
309,12342,1940,1,4,539,861,0,82500
310,12378,2003,2,8,708,1944,0,360000
311,7685,1993,2,6,420,697,804,165600
312,8000,1948,1,5,240,972,0,132000
313,7800,1939,1,5,410,793,325,119900
314,215245,1965,2,8,513,2036,0,375000
315,9600,1925,1,6,546,832,809,178000
316,7795,2004,2,6,432,716,716,188500
317,13005,1980,2,10,484,1153,1200,260000
318,9000,2006,2,8,1025,1088,871,270000
319,9900,1993,2,9,656,1372,1274,260000
320,14115,1980,2,6,588,1472,0,187500
321,16259,2006,3,9,840,1249,1347,342643
322,12099,2004,2,10,872,1136,1332,354000
323,10380,1986,2,8,576,1553,1177,301000
324,5820,1955,1,6,220,1163,0,126175
325,11275,1967,2,11,564,1898,1080,242000
326,5000,1941,1,5,360,803,0,87000
327,10846,1993,1,6,473,1719,0,324000
328,11600,1960,1,7,292,1383,0,145250
329,11888,1916,2,10,441,1445,689,214500
330,6402,1920,1,6,189,596,596,78000
331,10624,1964,2,10,352,1728,0,119000
332,8176,1958,1,6,308,1056,0,139000
333,10655,2003,2,7,880,1629,0,284000
334,8198,2004,2,6,484,1358,0,207000
335,9042,1998,2,7,472,943,695,192000
336,164660,1965,2,7,529,1619,167,228950
337,14157,2005,2,8,676,1922,0,377426
338,9135,2002,2,7,532,1536,0,214000
339,14145,1984,2,8,440,1621,0,202500
340,12400,1958,1,6,297,1215,0,155000
341,14191,2002,2,9,431,993,915,202900
342,8400,1950,1,4,294,841,0,82000
343,8544,1949,2,6,400,1040,0,87500
344,8849,2005,2,6,564,1684,0,266000
345,2592,1976,1,4,336,536,576,85000
346,6435,1939,1,6,312,972,605,140200
347,12772,1960,1,5,301,958,0,151500
348,17600,1960,2,6,498,1478,0,157500
349,2448,2003,2,6,474,764,862,154000
350,20431,2005,2,10,706,1848,880,437154
351,7820,2007,2,6,617,1869,0,318061
352,5271,1986,1,6,445,1453,0,190000
353,9084,1941,1,5,200,616,495,95000
354,8520,1928,1,5,484,720,0,105900
355,8400,1940,1,6,240,1192,403,140000
356,11249,1995,2,6,521,1200,0,177500
357,9248,1992,2,6,400,1167,0,173000
358,4224,1976,1,6,528,1142,0,134000
359,6930,1958,1,6,288,1352,0,130000
360,12011,1998,2,7,592,1086,838,280000
361,7540,1978,1,5,470,912,0,156000
362,9144,1940,1,8,240,988,517,145000
363,7301,2003,3,7,672,495,1427,198500
364,1680,1972,1,5,264,483,504,118000
365,18800,1976,2,6,566,790,784,190000
366,10690,1920,1,6,468,672,672,147000
367,9500,1963,1,6,514,1394,0,159000
368,9150,1962,1,6,296,1431,0,165000
369,7800,1954,1,7,244,1268,0,132000
370,9830,1959,1,7,576,1287,0,162000
371,8121,2000,2,7,460,953,711,172400
372,17120,1959,2,7,680,1120,468,134432
373,7175,1984,1,4,264,752,0,125000
374,10634,1953,1,5,270,1319,0,123000
375,8200,2003,2,8,434,847,1081,219500
376,10020,1922,0,4,0,904,0,61000
377,8846,1996,1,5,576,914,0,148000
378,11143,2004,3,8,610,1580,886,340000
379,11394,2010,1,8,834,1856,0,394432
380,8123,2000,2,7,463,1007,793,179000
381,5000,1924,2,6,308,1026,665,127000
382,7200,2006,2,5,572,1301,0,187750
383,9245,2006,2,8,639,939,858,213500
384,9000,1928,1,5,360,784,0,76000
385,53107,1992,2,9,501,1079,874,240000
386,3182,2004,2,6,430,1269,0,192000
387,8410,1910,1,8,0,658,526,81000
388,7200,1976,1,6,352,1125,0,125000
389,9382,1999,2,6,577,1479,0,191000
390,12474,2007,2,9,846,1742,590,426000
391,8405,1900,1,7,384,961,406,119000
392,12209,2001,2,7,560,804,1157,215000
393,8339,1959,1,5,294,882,0,106500
394,7446,1941,1,4,0,788,0,100000
395,10134,1940,1,5,240,735,299,109000
396,9571,1956,1,6,596,1144,0,129000
397,7200,1972,1,6,600,894,0,123000
398,7590,1962,2,8,264,876,936,169500
399,8967,1920,1,6,338,1077,0,67000
400,8125,2006,2,7,438,1112,438,241000
401,14963,1996,1,4,500,1288,0,245500
402,8767,2005,2,6,400,1310,0,164990
403,10200,1940,1,4,240,672,0,108000
404,12090,1998,2,10,420,1165,1098,258000
405,10364,1995,2,7,373,806,766,168000
406,9991,1976,2,8,490,1620,0,150000
407,10480,1936,1,6,240,1166,0,115000
408,15576,1915,2,8,308,840,840,177000
409,14154,2006,2,9,947,1071,1101,280000
410,10800,2007,2,8,836,1050,1028,339750
411,9571,1958,1,5,350,1276,0,60000
412,34650,1955,1,5,572,1056,0,145000
413,4403,2009,2,7,484,1478,0,222000
414,8960,1927,1,5,360,1028,0,115000
415,11228,1993,2,9,678,1080,1017,228000
416,8899,2007,2,6,396,1340,0,181134
417,7844,1978,1,6,440,672,728,149500
418,22420,1918,2,10,864,1370,1254,239000
419,8160,1940,1,7,240,756,378,126000
420,8450,1968,1,6,304,1056,0,142000
421,7060,1997,2,8,784,1344,0,206300
422,16635,1977,2,8,529,1602,0,215000
423,21750,1954,1,4,520,988,0,113000
424,9200,1998,2,8,696,1470,1160,315000
425,9000,1956,1,6,297,1196,0,139000
426,3378,1946,1,6,240,707,682,135000
427,12800,1989,2,5,569,1644,0,275000
428,8593,1957,1,5,352,907,0,109008
429,6762,2007,2,6,628,1208,0,195400
430,11457,1988,2,6,576,1412,0,175000
431,1680,1971,1,4,264,483,504,85400
432,5586,1920,1,7,0,1088,110,79900
433,1920,1971,1,6,440,765,600,122500
434,10839,1997,2,7,470,926,678,181000
435,1890,1972,1,3,0,630,0,81000
436,10667,1996,2,6,550,827,834,212000
437,4400,1920,1,6,440,734,384,116000
438,6000,1926,1,4,180,904,0,119000
439,4280,1913,1,4,352,694,0,90350
440,12354,1920,1,7,528,684,512,110000
441,15431,2008,2,10,672,2402,0,555000
442,12108,1955,2,8,0,1440,0,118000
443,6240,1930,2,8,360,1128,445,162900
444,3922,2006,2,6,648,1258,0,172500
445,8750,1994,2,8,493,933,975,210000
446,9855,1956,1,7,480,1689,0,127500
447,16492,1966,2,6,578,1888,0,190000
448,11214,1998,2,10,431,956,930,199900
449,8600,1937,2,7,198,780,596,119500
450,6000,1948,1,6,308,679,504,120000
451,5684,1930,1,5,270,813,0,110000
452,70761,1975,2,5,576,1533,0,280000
453,9303,1996,2,7,422,888,868,204000
454,9000,2008,2,6,676,786,804,210000
455,9297,1976,2,8,560,1728,0,188000
456,9600,1973,1,6,528,1242,0,175500
457,4571,1916,1,7,513,624,720,98000
458,53227,1954,1,6,529,1663,0,256000
459,5100,1925,1,7,228,833,833,161000
460,7015,1950,1,5,352,979,224,110000
461,8004,2009,2,8,552,832,1103,263435
462,7200,1936,1,6,576,575,560,155000
463,8281,1965,1,5,360,864,0,62383
464,11988,1934,1,6,240,849,811,188700
465,8430,1978,2,5,0,1040,0,124000
466,3072,2004,2,6,398,1414,0,178740
467,10628,1970,1,5,526,1277,0,167000
468,9480,1942,1,7,312,888,756,146500
469,11428,2006,2,7,866,1634,0,250000
470,9291,1993,2,7,506,832,878,187000
471,6820,1985,1,4,528,1502,0,212000
472,11952,1977,2,8,534,1161,808,190000
473,3675,2005,1,5,525,1072,0,148000
474,14977,2006,2,7,908,1976,0,440000
475,5330,2000,2,6,499,1652,0,251000
476,8480,1963,1,5,624,970,0,132500
477,13125,1997,2,7,508,1493,0,208900
478,13693,2006,2,9,694,2069,574,380000
479,10637,2007,2,7,826,1718,0,297000
480,5925,1937,1,7,672,1131,0,89471
481,16033,2004,2,8,772,1850,0,326000
482,11846,2003,2,6,874,1792,0,374000
483,2500,1915,1,7,164,916,910,155000
484,4500,1998,2,5,402,1216,0,164000
485,7758,1962,1,6,264,999,0,132500
486,9600,1950,1,5,264,1113,0,147000
487,10289,1965,1,6,515,1073,0,156000
488,12243,1971,2,7,487,1484,0,175000
489,10800,1900,2,10,520,1766,648,160000
490,1526,1970,1,3,286,630,0,86000
491,2665,1976,1,4,336,616,688,115000
